用户ID,movie_id,评分
1651,693,8
1652,1385,8
606,18253,10
1653,20088,8
1654,18980,8
1655,13990,8
1656,18816,8
1657,6181,8
1658,18210,8
612,7207,10
1661,12727,10
1662,18931,10
1663,10867,8
1665,5443,8
1666,2603,10
1667,22014,8
1669,22640,10
1672,9284,8
1673,10993,8
1674,14660,8
621,12269,8
1676,14006,8
1678,17173,8
1679,2153,8
626,16181,8
627,8203,8
1680,1181,8
1681,20185,8
20,21821,8
1682,12029,8
1684,476,8
1685,1444,8
1686,22832,8
1687,14018,8
1688,18192,10
644,9473,8
1691,14547,10
1692,11094,8
1694,7063,8
1695,18128,8
1697,18703,10
1698,18925,10
1699,10124,8
1701,10753,10
1702,13636,8
1703,4005,10
1704,17761,8
658,17531,10
1705,9780,8
638,7538,10
1706,17603,8
1707,3267,8
1709,19083,10
1710,22978,8
1711,14995,8
1712,1995,8
1713,14236,8
1715,18986,8
1716,21652,10
1717,21425,8
1719,15610,8
1720,174,8
563,1176,10
1721,21054,10
1722,19023,8
1723,7632,8
1724,18389,8
1725,12170,8
1726,20845,8
1727,19179,10
678,14941,8
1728,10057,8
1729,15495,10
1730,1199,8
1731,7133,8
1734,11812,8
675,11751,10
1735,11042,8
1736,13764,8
1737,4961,8
1739,7932,10
1740,11672,8
1742,18244,10
1744,4629,8
1746,12339,10
1749,19903,8
1750,1771,10
1751,7539,8
1752,5426,8
1753,12319,10
1754,4382,10
43,15640,8
1757,2358,10
1759,684,8
690,4972,8
1760,12147,10
1761,8427,10
1762,11826,8
1763,22602,8
1764,16472,10
1765,4319,10
1766,14736,10
677,1559,8
1767,13549,10
1768,17991,10
1769,3269,8
1770,8676,10
1771,3476,8
1772,8215,8
1773,3459,8
527,8903,10
701,19518,8
1774,16722,10
1775,3274,8
1776,11416,10
1777,22289,8
687,17036,8
1778,9913,8
1779,17521,8
1780,6482,8
1781,18143,10
1782,17638,10
704,17662,8
1783,21469,8
1785,16872,8
1786,7114,8
1787,8701,8
707,11823,8
1788,7699,10
1789,10948,8
1790,17472,10
1791,2873,8
782,4218,8
1792,13643,8
713,3064,10
1793,17155,10
1794,17216,10
695,20177,8
1795,22493,8
1796,14456,8
1798,3122,8
717,9139,8
1800,7423,8
1801,5241,8
723,15923,8
32,12724,10
1803,22986,8
1804,21900,10
1806,5755,10
1807,546,8
21,11702,10
1808,13373,8
732,9194,8
1815,21273,8
734,10336,10
1817,827,8
1818,13992,8
1819,16693,8
1820,8829,10
1822,12350,8
1823,15833,8
1824,11104,10
1825,2181,8
1827,11915,8
1828,20655,8
740,13074,10
1830,18924,8
744,10340,8
745,3129,10
747,13434,10
1833,7175,8
771,20764,8
1835,11401,10
1836,7539,8
1837,13449,8
1838,19016,8
1839,12115,8
1840,16834,8
1841,14041,8
1843,8088,10
1844,7782,8
1845,4289,8
1846,21843,10
1847,10296,8
1849,8839,8
1850,10767,10
1851,3023,8
1852,7961,10
743,15101,8
1853,7395,8
1854,5238,10
1855,6315,8
759,5599,8
760,21960,8
1857,14918,8
1859,3329,10
637,10897,10
1860,14886,8
24,12302,10
1861,20210,8
763,12548,8
1862,9830,8
764,21921,10
1863,15560,8
1864,17857,10
1865,21908,8
1866,7487,10
786,14027,8
768,4575,8
1868,6451,8
1869,6397,10
1870,1729,10
1871,8093,8
1872,3560,8
1873,22427,8
777,7602,8
1874,3177,8
849,14450,8
779,13919,8
780,8865,8
1876,17702,8
1877,9635,8
1878,9767,10
1879,21164,8
1880,18826,10
1882,17801,10
781,1119,8
789,3066,10
790,18303,10
1885,15080,8
1886,8347,8
924,255,4
1887,5208,4
26,692,4
1888,16784,2
1889,7724,2
1890,11891,4
1891,4812,2
1892,19979,2
1757,15453,2
1894,19427,4
401,15421,4
1895,10167,4
1897,3014,4
1031,21375,4
1898,10952,4
1109,21359,4
1899,13793,4
1902,4673,4
1904,12861,4
1906,22552,4
1907,9111,4
1908,19074,4
187,19582,2
822,10630,4
1909,6512,4
1911,19512,2
1913,17352,4
1915,11697,4
1917,9045,4
1918,13195,4
1208,9798,4
530,3896,4
1921,13172,2
1925,11751,4
1926,3009,4
1928,3602,4
1930,16209,2
1933,6687,4
557,7243,4
1935,15263,4
1941,13396,4
1942,14122,2
1945,4958,4
1946,7356,4
1947,2220,4
1950,20656,2
1953,13060,4
1954,8536,4
1957,11936,4
1959,5235,4
1961,16300,4
1160,15427,2
1962,9963,4
1964,12862,4
1967,7519,4
1972,8402,4
1974,2655,2
1976,4310,4
209,7902,4
1979,16486,4
1981,1051,4
1983,9120,4
1986,7396,4
1989,4625,4
1990,2623,4
1991,23030,4
1091,10986,4
1998,6024,2
2000,2239,4
2001,10680,4
2002,22011,4
2005,15100,4
2006,12322,4
2011,10449,4
2013,1427,4
2014,11021,4
2017,19547,4
2019,5403,4
2020,18605,2
2022,17097,4
2023,10557,4
2024,1644,4
1138,3882,2
2031,6900,4
2035,22768,4
2036,5273,4
2037,21514,4
2038,19212,4
2039,21538,2
2040,11609,4
2041,1014,4
2042,2336,4
2043,2034,4
2044,160,4
2045,2765,4
2046,10080,4
2049,8976,4
2050,18345,4
2064,19631,4
2067,13663,4
2069,7310,4
2071,2740,4
2075,1398,4
2085,16009,4
2088,4928,2
2090,1791,2
2098,7453,4
2103,20756,4
2111,16080,4
2114,633,4
2121,11925,4
2123,12073,2
2133,320,4
1836,15446,4
2142,11352,4
2144,16048,4
2146,321,4
2158,18118,4
2160,9474,4
609,18022,10
821,20452,8
2168,6732,10
2170,4250,10
1499,13017,8
2172,8499,8
2173,11933,10
2174,7110,8
2175,140,10
2176,612,8
2177,22878,8
2178,21030,8
2180,9787,8
2181,2591,10
2182,7060,8
1535,15295,8
2183,5549,10
1687,20231,8
2184,10308,8
2185,12639,8
2187,7169,8
2188,21067,10
2189,9703,8
2190,16482,8
2191,22247,10
2192,18401,8
2193,20847,8
2194,5231,8
2195,8762,10
1739,9885,8
2196,17006,8
2198,4467,8
2199,21213,10
2200,12091,8
2201,12462,8
2203,17028,8
1503,8619,8
2204,16515,8
2205,1966,8
2206,13814,8
2207,15562,10
789,8631,8
790,1585,8
2208,15457,8
2209,17642,8
2210,2438,8
2211,18528,10
2212,22870,8
2213,17329,8
2214,19195,8
720,15320,8
1576,3298,8
2216,19804,8
2217,245,8
2218,848,8
2219,19968,8
2220,2236,8
2221,2521,8
2222,18489,10
844,22161,8
1610,22174,8
2224,1446,8
2225,5442,8
2227,17902,8
2228,12455,10
2229,8903,10
2230,17143,8
2231,13509,8
2232,18131,8
644,17679,8
2233,1091,8
2234,16506,8
2235,19621,8
2237,14585,8
2238,20879,8
2240,5729,10
2241,21192,8
2242,2756,8
2243,12066,8
2246,12444,10
1702,16721,8
2247,16149,10
777,9836,10
2248,22532,8
2250,6840,8
2251,7849,8
2253,18460,8
2254,16532,8
2255,8959,10
2256,13141,10
2257,8928,8
2258,244,8
2259,3361,8
2260,4040,8
2261,21750,10
1178,12865,8
2264,21388,8
2265,10421,8
2266,7619,8
1674,17735,8
2271,1303,8
2272,17239,8
517,22997,8
2274,5471,8
2275,16036,10
1879,22038,8
2277,9890,10
591,17320,8
784,13939,8
2278,910,8
1633,19792,8
2280,16388,8
2281,17842,8
2282,9001,10
2283,752,8
2284,10050,8
1495,745,8
2286,543,8
654,7187,8
2287,5364,8
2288,8410,10
2289,1834,8
2290,21871,8
2291,12037,8
2294,5895,8
318,17036,8
2295,19977,8
2296,8112,8
2297,2586,8
2298,11694,8
2299,368,8
