用户ID,movie_id,评分
998,16906,8
97,18055,4
999,13082,4
1000,20626,4
1002,5753,4
1003,13736,2
1004,14166,4
1005,6307,4
1006,21249,4
1007,18562,4
1008,9951,4
1010,4821,4
376,1272,2
1011,18503,4
1012,15021,4
1013,13555,4
697,9962,4
56,10099,4
921,2720,4
1014,2085,4
1015,11257,4
1016,15775,4
1017,16613,4
1018,4491,2
1019,2916,4
109,16922,4
77,12263,4
108,21055,4
1020,650,4
1021,7608,4
1023,10256,4
1024,7403,4
1025,13854,4
1026,14888,4
1027,7342,4
1028,2227,4
1029,22102,4
1030,15699,4
1031,17224,4
1032,17677,4
1033,11665,2
1034,2963,2
1035,7139,2
1036,15270,4
1037,8630,4
997,7134,2
441,8143,4
742,18800,4
1039,17376,4
1040,5315,4
1041,1878,4
1042,11516,4
1043,10626,2
1044,14874,4
1046,16677,4
1047,21670,2
1048,3196,4
1049,17180,4
1052,6176,2
1053,18169,4
1054,249,4
1055,4376,4
1060,3188,4
1062,7268,4
255,12114,4
42,13704,4
1064,4541,2
1065,21730,4
1067,9444,4
1068,1783,4
1071,12693,4
1074,6368,4
1075,6289,4
1078,21402,2
1081,1609,4
1082,342,4
1083,16898,4
314,9773,4
1085,7050,4
1086,14910,4
1087,1509,2
1088,22333,4
1089,4187,4
1091,22559,4
1092,7949,4
1099,13356,4
1101,15498,4
1103,19810,2
1104,7727,4
1108,10765,4
1109,15849,4
1110,18446,4
1113,4477,4
1118,4129,4
1119,11318,4
1120,6304,4
1123,2322,2
1126,15013,4
1127,5720,2
1128,11744,2
1129,6857,4
1130,6635,4
332,6076,4
1132,3872,4
1138,12299,4
1140,5459,4
1142,13566,4
1053,6707,2
1145,7042,4
1150,6565,4
1155,1792,4
1159,12321,4
1160,12705,4
1164,18180,4
1165,20307,4
1166,6403,4
1168,1003,4
1171,19630,4
1173,20663,4
1174,11417,4
1175,5206,4
1176,6204,4
1178,14749,4
1179,21452,4
1180,3297,4
1181,10441,4
1183,20653,4
1185,6922,4
1186,4872,4
1188,6156,4
1189,3518,4
1199,5184,4
1203,11551,4
1206,18835,2
1208,9744,4
1214,21742,2
1219,18648,2
1223,20979,4
1225,22540,4
1229,23001,4
1232,1650,4
1233,14972,4
1236,6815,4
1241,17950,4
1242,14134,4
1245,2821,4
1248,2960,4
1252,7996,2
1259,12424,4
1260,12912,4
1266,21076,4
1269,1472,4
1271,20608,4
1275,21267,4
1277,16514,4
1285,19769,4
1290,15878,4
1291,22892,4
1298,5482,2
1304,22591,4
1307,21806,4
1312,11412,4
1320,604,4
1325,15583,4
1331,12021,4
1336,7492,2
1338,11723,2
1339,5582,4
1341,4303,2
1350,18116,4
1353,5730,4
1358,5411,4
1361,15500,4
1377,2471,4
1378,19014,4
1380,3165,4
1386,15352,4
1398,19974,4
1406,901,2
1438,9024,4
1444,5964,4
1447,12392,4
1454,22872,4
1456,22070,4
1468,4776,4
1478,15318,10
1479,5008,10
514,16157,10
1484,12395,10
1488,17243,10
549,1993,10
1489,3654,8
1490,22977,10
1491,5029,8
502,12801,8
1493,13976,8
1495,13463,8
1496,294,10
1497,14361,10
520,10940,10
519,3143,8
772,20906,10
1498,10914,10
528,10625,10
1499,21152,8
1502,15421,10
1503,16814,8
1504,3129,10
1506,3377,10
1507,4061,10
503,9810,8
562,14419,10
1509,748,10
1510,3671,8
1512,19580,10
551,544,10
57,6494,8
10,1945,8
979,12657,8
516,8481,10
725,11796,10
1513,8926,8
1515,20067,8
1516,3789,8
1517,9851,10
911,13915,10
1518,9762,10
1520,9959,8
1521,18124,8
1522,11132,8
1524,14841,8
1525,22783,8
1526,5835,10
1527,6355,10
1529,19576,8
1530,3642,8
676,9206,8
1531,762,8
1533,17204,8
683,15445,8
601,18073,8
680,15707,8
1534,8474,8
1535,22523,8
1536,16648,8
1537,12748,8
1539,16067,8
1540,3593,10
1542,16223,8
1543,4564,10
1544,10891,8
1545,2970,10
1546,21911,8
1547,7428,8
1548,9503,8
1549,16739,8
1551,22809,8
622,223,8
1552,10906,8
1553,10809,8
1554,11923,8
1555,1705,8
1556,9538,8
1557,10983,10
1559,12213,10
1560,9288,10
1561,19521,10
1562,3503,10
1563,5597,8
1564,9262,10
1567,14632,8
1568,21434,8
1569,5781,10
13,20690,8
1570,18216,8
1573,3239,10
1575,5756,8
1576,4350,8
1577,612,10
1578,9908,8
1579,20237,10
1580,8048,10
1582,13401,8
1583,22335,10
1584,8329,10
1585,19933,10
572,11981,10
1586,22435,8
1587,9935,8
565,1100,8
517,2833,10
1590,21340,10
1592,22275,8
619,9900,8
1593,18001,10
1594,12827,10
1596,18236,10
1597,1375,10
1598,19658,8
1599,9775,8
27,6011,10
1600,5755,10
585,12695,8
1601,15744,8
1602,2295,8
1603,22047,8
62,6474,8
1606,6217,8
1607,12731,8
1608,21260,8
1609,19237,10
1610,14860,10
1611,7206,10
608,1160,8
1614,8374,8
595,17961,8
1616,12314,8
1617,18304,8
596,16717,8
1618,10806,8
1621,3259,10
1623,14837,8
1624,16266,8
1625,3233,10
1627,9952,8
594,16414,8
1628,11162,8
1630,1303,8
1632,15874,8
1633,7228,8
1634,6353,8
1635,19696,10
1636,19503,10
1637,15387,8
1638,1458,8
1640,3964,8
1641,13784,8
1642,1562,8
1643,15991,8
1644,18523,8
1645,6633,8
1646,1632,8
508,5694,8
1647,15448,8
1648,1589,8
1649,20463,8
1650,13309,8
882,14571,10
